w_um,l_um,metric_name,target_value,simulated_value,relative_error
0.56,2.7,idoff_a,1.85981199195e-12,1.84858e-12,0.006039315801068297
0.56,2.7,isoff_a,5.05166144841e-14,4.85771e-14,0.038393595926949145
1.5,0.028,vtlin_v,0.572007008985,0.582421,0.01820605491089891
1.5,0.028,vtsat_v,0.332216358942,0.340171,0.02394415820862313
1.5,0.028,idlin_a,0.000170390558082,0.000171336,0.005548675517249047
1.5,0.028,idsat_a,0.00344152736084,0.00340486,0.010654385973282028
1.5,0.028,idoff_a,3.5147306477e-12,3.59887e-12,0.023939061263502478
1.5,0.028,isoff_a,1.80426613579e-12,1.79887e-12,0.0029907648782851086
1.5,0.056,vtlin_v,0.612212903842,0.608919,0.005380324101842361
1.5,0.056,vtsat_v,0.474551911022,0.492959,0.038788357080594776
1.5,0.056,idlin_a,9.4162819186e-05,9.79644e-05,0.04037241925064641
1.5,0.056,idsat_a,0.00131948752202,0.00126867,0.03851307509312677
1.5,0.056,idoff_a,1.8811071109e-12,1.80278e-12,0.04163883621838258
1.5,0.056,isoff_a,2.81896857247e-15,2.77923e-15,0.0140968483501683
1.5,0.14,vtlin_v,0.446992238857,0.449818,0.006321723057710604
1.5,0.14,vtsat_v,0.398718360312,0.405531,0.017086345566502282
1.5,0.14,idlin_a,6.34614643886e-05,6.14821e-05,0.03119002071051428
1.5,0.14,idsat_a,0.000707176846631,0.000723917,0.023671806350491154
1.5,0.14,idoff_a,1.77656212951e-12,1.83227e-12,0.031357119216182325
1.5,0.14,isoff_a,3.23320453456e-14,3.2275e-14,0.001764359321850357
1.5,0.28,vtlin_v,0.356373509737,0.354484,0.00530204879255591
1.5,0.28,vtsat_v,0.33464600931,0.324648,0.02987637393499686
1.5,0.28,idlin_a,4.15412385789e-05,4.0523e-05,0.02451151226427785
1.5,0.28,idsat_a,0.000495386565141,0.000480591,0.029866706491704663
1.5,0.28,idoff_a,2.16668744653e-12,2.13289e-12,0.015598671873106387
1.5,0.28,isoff_a,3.32451694292e-13,3.32892e-13,0.0013244201054162527
1.5,0.56,vtlin_v,0.301315614128,0.306183,0.016153779106622367
1.5,0.56,vtsat_v,0.286979108432,0.282897,0.014224409763846015
1.5,0.56,idlin_a,2.57368947482e-05,2.50291e-05,0.02750117118342338
1.5,0.56,idsat_a,0.000300690878359,0.000301762,0.0035622019758151102
1.5,0.56,idoff_a,2.60865741194e-12,2.59106e-12,0.0067457734616494175
1.5,0.56,isoff_a,7.69883311571e-13,7.91058e-13,0.027503763376545507
1.5,1.5,vtlin_v,0.2881315453,0.286958,0.004072949731269923
1.5,1.5,vtsat_v,0.272279577031,0.268475,0.01397305325829411
1.5,1.5,idlin_a,1.18335144998e-05,1.16251e-05,0.017612223300484564
1.5,1.5,idsat_a,0.000130684442134,0.000131926,0.009500425955271279
1.5,1.5,idoff_a,2.27070062404e-12,2.31838e-12,0.020997649560323652
1.5,1.5,isoff_a,5.2948738533e-13,5.18383e-13,0.02097195445568414
1.5,2.7,vtlin_v,0.286861140718,0.286672,0.0006593459034800409
1.5,2.7,vtsat_v,0.274494670473,0.269639,0.017689489069616097
1.5,2.7,idlin_a,7.54050206438e-06,7.3066e-06,0.03101942846550132
1.5,2.7,idsat_a,8.17301041559e-05,8.34288e-05,0.02078421239816045
1.5,2.7,idoff_a,2.06427098413e-12,2.0747e-12,0.0050521544652700956
1.5,2.7,isoff_a,2.66468221552e-13,2.74702e-13,0.030899663757440687
2.7,0.028,vtlin_v,0.583276238212,0.559253,0.04118672532527966
