w_um,l_um,metric_name,target_value,simulated_value,relative_error
2.7,0.056,idlin_a,0.000200394264872,0.000194132,0.03124972102370277
2.7,0.056,idsat_a,0.0025028378813,0.00249277,0.004022586271057444
2.7,0.056,idoff_a,1.8126123908e-12,1.80757e-12,0.0027818362191458588
2.7,0.056,isoff_a,7.71282833433e-15,7.56992e-15,0.01852865487669576
2.7,0.14,vtlin_v,0.420060771806,0.437616,0.041792115265901784
2.7,0.14,vtsat_v,0.410318685698,0.393452,0.041106306599973094
2.7,0.14,idlin_a,0.000119203123708,0.000121326,0.017808898172838136
2.7,0.14,idsat_a,0.00149080096594,0.00143785,0.03551846768935562
2.7,0.14,idoff_a,1.87956234738e-12,1.89474e-12,0.008075099312963272
2.7,0.14,isoff_a,9.69895372967e-14,9.47382e-14,0.023212166584659005
2.7,0.28,vtlin_v,0.32670424252,0.342126,0.04720403188230983
2.7,0.28,vtsat_v,0.325825826121,0.311345,0.0444434570868619
2.7,0.28,idlin_a,8.17216973585e-05,7.85396e-05,0.03893821911873234
2.7,0.28,idsat_a,0.000958580963112,0.000926686,0.03327310299221264
2.7,0.28,idoff_a,2.84735917043e-12,2.71878e-12,0.045157341499204855
2.7,0.28,isoff_a,8.87965446994e-13,9.18783e-13,0.03470580202228093
2.7,0.56,vtlin_v,0.291552826671,0.295565,0.01376139403212681
2.7,0.56,vtsat_v,0.268666246272,0.27215,0.01296684558012191
2.7,0.56,idlin_a,4.99254784126e-05,5.13088e-05,0.027707728225812637
2.7,0.56,idsat_a,0.000615536964726,0.000594252,0.034579506911457086
2.7,0.56,idoff_a,3.88431380956e-12,4.00663e-12,0.03148978080477359
2.7,0.56,isoff_a,2.27348401894e-12,2.20663e-12,0.029405977074415772
2.7,1.5,vtlin_v,0.265125442414,0.271821,0.025254300473904385
2.7,1.5,vtsat_v,0.257416728746,0.253072,0.016878191122874007
2.7,1.5,idlin_a,2.3615864223e-05,2.31546e-05,0.019531964557569115
2.7,1.5,idsat_a,0.00027392738181,0.000267835,0.022240864603399687
2.7,1.5,idoff_a,3.40747388631e-12,3.43169e-12,0.00710676427698869
