corner_name,w_um,l_um,parameter_name,metric_name,sensitivity
w_max_l_min,5.4,0.028,k2,vtsat_v,0.002000000000002
w_max_l_min,5.4,0.028,k2,idlin_a,-3.0000000000038676e-06
w_max_l_min,5.4,0.028,k2,idsat_a,-0.00020000000000020002
w_max_l_min,5.4,0.028,ub,idoff_a,-280.8058
w_max_l_min,5.4,0.028,ub,isoff_a,-280.80580000000003
w_max_l_min,5.4,0.028,ub,vtlin_v,102858000000.0
w_max_l_min,5.4,0.028,ub,vtsat_v,73874000000.0
w_max_l_min,5.4,0.028,ub,idlin_a,-3343766000.0
w_max_l_min,5.4,0.028,ub,idsat_a,-48229100000.00001
w_max_l_min,5.4,0.028,uc,idoff_a,0.0
w_max_l_min,5.4,0.028,uc,isoff_a,0.0
w_max_l_min,5.4,0.028,uc,vtlin_v,0.0
w_max_l_min,5.4,0.028,uc,vtsat_v,0.0
w_max_l_min,5.4,0.028,uc,idlin_a,0.0
w_max_l_min,5.4,0.028,uc,idsat_a,0.0
w_max_l_min,5.4,0.028,a0,idoff_a,-3.833333333333726e-13
w_max_l_min,5.4,0.028,a0,isoff_a,-3.833333333333726e-13
w_max_l_min,5.4,0.028,a0,vtlin_v,0.0004444444444448889
w_max_l_min,5.4,0.028,a0,vtsat_v,0.0004444444444448889
w_max_l_min,5.4,0.028,a0,idlin_a,-6.388888888899132e-07
w_max_l_min,5.4,0.028,a0,idsat_a,-4.4444444444469614e-05
w_max_l_min,5.4,0.028,keta,idoff_a,0.0
w_max_l_min,5.4,0.028,keta,isoff_a,0.0
w_max_l_min,5.4,0.028,keta,vtlin_v,0.0
w_max_l_min,5.4,0.028,keta,vtsat_v,0.0
w_max_l_min,5.4,0.028,keta,idlin_a,0.0
w_max_l_min,5.4,0.028,keta,idsat_a,0.0
w_max_l_max,5.4,2.7,toxe,idoff_a,0.0020241666666666745
w_max_l_max,5.4,2.7,toxe,isoff_a,0.0020241666666666745
w_max_l_max,5.4,2.7,toxe,vtlin_v,-10500000.000001252
w_max_l_max,5.4,2.7,toxe,vtsat_v,-10833333.333332606
w_max_l_max,5.4,2.7,toxe,idlin_a,15716.666666666686
w_max_l_max,5.4,2.7,toxe,idsat_a,172666.66666667035
w_max_l_max,5.4,2.7,vth0,idoff_a,-1.0118923076923074e-10
w_max_l_max,5.4,2.7,vth0,isoff_a,-1.0118923076923077e-10
w_max_l_max,5.4,2.7,vth0,vtlin_v,1.0886923076923054
w_max_l_max,5.4,2.7,vth0,vtsat_v,1.0648461538461556
w_max_l_max,5.4,2.7,vth0,idlin_a,-4.8069230769230876e-05
w_max_l_max,5.4,2.7,vth0,idsat_a,-0.0007807692307692309
w_max_l_max,5.4,2.7,u0,idoff_a,3.572666666666638e-15
w_max_l_max,5.4,2.7,u0,isoff_a,3.5726666666666654e-15
w_max_l_max,5.4,2.7,u0,vtlin_v,-3.6733333333331215e-05
w_max_l_max,5.4,2.7,u0,vtsat_v,-3.993333333333441e-05
w_max_l_max,5.4,2.7,u0,idlin_a,4.6433333333333504e-08
w_max_l_max,5.4,2.7,u0,idsat_a,5.240666666666674e-07
w_max_l_max,5.4,2.7,vsat,idoff_a,-6.538461538476618e-20
w_max_l_max,5.4,2.7,vsat,isoff_a,-6.538461538461084e-20
w_max_l_max,5.4,2.7,vsat,vtlin_v,-3.8461538460509403e-10
w_max_l_max,5.4,2.7,vsat,vtsat_v,7.692307692315385e-10
w_max_l_max,5.4,2.7,vsat,idlin_a,2.3076923076713054e-13
w_max_l_max,5.4,2.7,vsat,idsat_a,3.576923076923101e-11
w_max_l_max,5.4,2.7,rdsw,idoff_a,6.571428571436939e-17
w_max_l_max,5.4,2.7,rdsw,isoff_a,6.571428571431169e-17
w_max_l_max,5.4,2.7,rdsw,vtlin_v,-1.4285714285332064e-07
w_max_l_max,5.4,2.7,rdsw,vtsat_v,-7.142857142864287e-07
w_max_l_max,5.4,2.7,rdsw,idlin_a,-1.7714285714285835e-09
w_max_l_max,5.4,2.7,rdsw,idsat_a,-7.285714285712836e-09
w_max_l_max,5.4,2.7,nfactor,idoff_a,1.0624999999999933e-12
w_max_l_max,5.4,2.7,nfactor,isoff_a,1.0625000000000103e-12
w_max_l_max,5.4,2.7,nfactor,vtlin_v,-0.0005000000000005
w_max_l_max,5.4,2.7,nfactor,vtsat_v,-0.0012083333333333852
w_max_l_max,5.4,2.7,nfactor,idlin_a,0.0
w_max_l_max,5.4,2.7,nfactor,idsat_a,0.0
w_max_l_max,5.4,2.7,eta0,idoff_a,0.0
w_max_l_max,5.4,2.7,eta0,isoff_a,0.0
w_max_l_max,5.4,2.7,eta0,vtlin_v,0.0
w_max_l_max,5.4,2.7,eta0,vtsat_v,0.0
w_max_l_max,5.4,2.7,eta0,idlin_a,0.0
w_max_l_max,5.4,2.7,eta0,idsat_a,0.0
w_max_l_max,5.4,2.7,cit,idoff_a,8.120689655173612e-10
w_max_l_max,5.4,2.7,cit,isoff_a,8.120689655172219e-10
w_max_l_max,5.4,2.7,cit,vtlin_v,-0.5172413793156477
w_max_l_max,5.4,2.7,cit,vtsat_v,-0.8620689655181037
w_max_l_max,5.4,2.7,cit,idlin_a,0.0
w_max_l_max,5.4,2.7,cit,idsat_a,0.0
w_max_l_max,5.4,2.7,voff,idoff_a,-9.462999999999997e-11
w_max_l_max,5.4,2.7,voff,isoff_a,-9.463000000000003e-11
w_max_l_max,5.4,2.7,voff,vtlin_v,0.9688750000000009
w_max_l_max,5.4,2.7,voff,vtsat_v,0.9943749999999987
w_max_l_max,5.4,2.7,voff,idlin_a,0.0
w_max_l_max,5.4,2.7,voff,idsat_a,0.0
w_max_l_max,5.4,2.7,k2,idoff_a,-2.0320000000000867e-12
w_max_l_max,5.4,2.7,k2,isoff_a,-2.032000000000006e-12
w_max_l_max,5.4,2.7,k2,vtlin_v,0.018599999999990846
w_max_l_max,5.4,2.7,k2,vtsat_v,0.022600000000000398
w_max_l_max,5.4,2.7,k2,idlin_a,-9.000000000006182e-07
w_max_l_max,5.4,2.7,k2,idsat_a,-0.0002985999999999961
w_max_l_max,5.4,2.7,ub,idoff_a,-53.54562
w_max_l_max,5.4,2.7,ub,isoff_a,-53.54562000000001
w_max_l_max,5.4,2.7,ub,vtlin_v,86570999999.99998
w_max_l_max,5.4,2.7,ub,vtsat_v,85595000000.0
w_max_l_max,5.4,2.7,ub,idlin_a,-1478027600.0
w_max_l_max,5.4,2.7,ub,idsat_a,-11178836000.000002
w_max_l_max,5.4,2.7,uc,idoff_a,0.0
w_max_l_max,5.4,2.7,uc,isoff_a,0.0
w_max_l_max,5.4,2.7,uc,vtlin_v,0.0
w_max_l_max,5.4,2.7,uc,vtsat_v,0.0
w_max_l_max,5.4,2.7,uc,idlin_a,0.0
w_max_l_max,5.4,2.7,uc,idsat_a,0.0
w_max_l_max,5.4,2.7,a0,idoff_a,-5.575000000000093e-13
w_max_l_max,5.4,2.7,a0,isoff_a,-5.575000000000093e-13
w_max_l_max,5.4,2.7,a0,vtlin_v,0.005138888888890173
w_max_l_max,5.4,2.7,a0,vtsat_v,0.006250000000000082
w_max_l_max,5.4,2.7,a0,idlin_a,-2.444444444444157e-07
w_max_l_max,5.4,2.7,a0,idsat_a,-8.194444444444417e-05
w_max_l_max,5.4,2.7,keta,idoff_a,0.0
w_max_l_max,5.4,2.7,keta,isoff_a,0.0
w_max_l_max,5.4,2.7,keta,vtlin_v,0.0
w_max_l_max,5.4,2.7,keta,vtsat_v,0.0
w_max_l_max,5.4,2.7,keta,idlin_a,0.0
w_max_l_max,5.4,2.7,keta,idsat_a,0.0
